slug,name,category,pricingUnit,basePrice_cad,preset_key,preset_model,preset_active,minimumPrice,fileFee,materials_count,finishings_count,addons_count,sizes_count,tier_1,tier_2,tier_3,has_optionsConfig
step-and-repeat-stand-kit,Step & Repeat Stand Kit,display-stands,per_piece,129.00,autobase_backdrop-stand-hardware,QTY_TIERED,true,129,0,,,,,1:129,3:122.55,5:116.1,false
step-repeat-backdrop-8x8,Step & Repeat Backdrop 8×8,display-stands,per_piece,275.00,catbase_display_stands_03,QTY_TIERED,true,0,0,0,0,,,1:287,5:272.65,10:258.3,false
step-repeat-backdrops,Step & Repeat Backdrops,display-stands,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
table-cloth,Table Cloth,display-stands,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
tabletop-banner-a3,Tabletop Banner - A3,display-stands,per_piece,55.00,autobase_magnetic-truck-door-signs,QTY_TIERED,true,55,0,,,,,1:55,3:52.25,5:49.5,false
tabletop-banner-a4,Tabletop Banner - A4,display-stands,per_piece,35.00,batch1_tabletop_banner_a4,QTY_TIERED,true,55,0,,1,,,1:55,3:48,5:42,false
tabletop-x-banner,Tabletop X-Banner Stand,display-stands,per_piece,25.00,autobase_cvor-number-decals,QTY_TIERED,true,25,0,,,,,1:25,3:23.75,5:22.5,false
teardrop-flag,Teardrop Flag,display-stands,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
teardrop-flag-medium,Teardrop Flag — Medium,display-stands,per_piece,119.00,autobase_teardrop-flag-medium,QTY_TIERED,true,119,0,,,,,1:119,3:113.05,5:107.1,false
teardrop-flag-pole-set,Teardrop Flag Pole Set,display-stands,per_piece,99.00,autobase_acrylic-signs,QTY_TIERED,true,99,0,,,,,1:99,3:94.05,5:89.1,false
teardrop-flags,Teardrop Flags,display-stands,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
telescopic-backdrop,Telescopic Backdrop,display-stands,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
tension-fabric-display-3x3,Tension Fabric Display 3×3,display-stands,per_piece,299.00,catbase_display_stands_03,QTY_TIERED,true,0,0,0,0,,,1:287,5:272.65,10:258.3,false
tent-frame-10x10,10x10 Canopy Tent Frame,display-stands,per_piece,259.00,catbase_display_stands_03,QTY_TIERED,true,0,0,0,0,,,1:287,5:272.65,10:258.3,false
tent-walls-set,Canopy Tent Side Walls Set,display-stands,per_piece,129.00,autobase_backdrop-stand-hardware,QTY_TIERED,true,129,0,,,,,1:129,3:122.55,5:116.1,false
velcro-strips,Velcro Strips (Add-on),display-stands,per_piece,12.00,catbase_display_stands_02,QTY_TIERED,true,0,0,0,0,,,1:10.5,5:9.975,10:9.45,false
x-banner-frame-print,X-Banner Frame + Print,display-stands,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
x-banner-prints,X-Banner Prints,display-stands,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
x-banner-stand-large,X-Banner Stand - Large,display-stands,per_piece,65.00,autobase_car-door-magnets-pair,QTY_TIERED,true,65,0,,,,,1:65,3:61.75,5:58.5,false
x-banner-stand-standard,X-Banner Stand - Standard,display-stands,per_piece,45.00,batch1_x_banner_standard,QTY_TIERED,true,72,0,,2,,,1:72,3:62,5:55,false
x-stand-hardware,X-Stand Hardware,display-stands,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,false
aisle-markers-hanging,Hanging Aisle Markers,facility-asset-labels,per_piece,35.00,autobase_aisle-markers-hanging,QTY_TIERED,true,35,0,,,,,1:35,3:33.25,5:31.5,false
asset-tags-qr-barcode,Asset Tags (QR / Barcode),facility-asset-labels,per_piece,2.00,catbase_vehicle_branding_advertising_01,QTY_TIERED,true,0,0,0,0,,,1:1.75,5:1.6625,10:1.575,false
asset-tags-tamper-evident,Asset Tags,facility-asset-labels,per_piece,3.00,catbase_facility_asset_labels_01,QTY_TIERED,true,0,0,0,0,,,1:2,5:1.9,10:1.8,false
cable-panel-labels,Panel Labels,facility-asset-labels,per_piece,1.50,catbase_facility_asset_labels_01,QTY_TIERED,true,0,0,0,0,,,1:2,5:1.9,10:1.8,false
dock-door-numbers,Loading Dock Door Numbers,facility-asset-labels,per_piece,25.00,autobase_cvor-number-decals,QTY_TIERED,true,25,0,,,,,1:25,3:23.75,5:22.5,false
electrical-panel-labels,Electrical Panel Directory Labels,facility-asset-labels,per_piece,15.00,catbase_facility_asset_labels_03,QTY_TIERED,true,0,0,0,0,,,1:15,5:14.25,10:13.5,false
equipment-rating-plates,Equipment Rating Plates,facility-asset-labels,per_piece,15.00,catbase_facility_asset_labels_03,QTY_TIERED,true,0,0,0,0,,,1:15,5:14.25,10:13.5,false
pipe-markers-color-coded,Colour-Coded Pipe Markers,facility-asset-labels,per_piece,8.00,catbase_facility_asset_labels_02,QTY_TIERED,true,0,0,0,0,,,1:5,5:4.75,10:4.5,false
pipe-markers-custom,Custom Pipe Markers,facility-asset-labels,per_piece,12.00,catbase_facility_asset_labels_03,QTY_TIERED,true,0,0,0,0,,,1:15,5:14.25,10:13.5,false
rack-labels-warehouse,Warehouse Rack Labels,facility-asset-labels,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,false
tool-box-bin-labels,Bin Labels,facility-asset-labels,per_piece,1.50,catbase_facility_asset_labels_01,QTY_TIERED,true,0,0,0,0,,,1:2,5:1.9,10:1.8,false
valve-tags-engraved,Engraved Valve Tags,facility-asset-labels,per_piece,5.00,catbase_facility_asset_labels_02,QTY_TIERED,true,0,0,0,0,,,1:5,5:4.75,10:4.5,false
warehouse-zone-labels,Warehouse Zone Labels,facility-asset-labels,per_piece,3.00,catbase_facility_asset_labels_01,QTY_TIERED,true,0,0,0,0,,,1:2,5:1.9,10:1.8,false
cvor-number-decals,CVOR Number Decals,fleet-compliance-id,per_piece,25.00,autobase_cvor-number-decals,QTY_TIERED,true,25,0,,,,,1:25,3:23.75,5:22.5,false
dangerous-goods-placards,Dangerous Goods Placards,fleet-compliance-id,per_piece,35.00,autobase_aisle-markers-hanging,QTY_TIERED,true,35,0,,,,,1:35,3:33.25,5:31.5,false
equipment-id-decals-cut-vinyl,Equipment ID Decals,fleet-compliance-id,per_piece,10.00,catbase_vehicle_branding_advertising_03,QTY_TIERED,true,0,0,0,0,,,1:13.5,5:12.825,10:12.15,false
fleet-unit-number-stickers,Fleet Unit Number Stickers,fleet-compliance-id,per_piece,12.00,catbase_vehicle_branding_advertising_03,QTY_TIERED,true,0,0,0,0,,,1:13.5,5:12.825,10:12.15,false
fleet-vehicle-inspection-book,Fleet Vehicle Inspection Book,fleet-compliance-id,per_piece,24.00,autobase_fleet-vehicle-inspection-book,QTY_TIERED,true,24,0,,,,,1:24,3:22.8,5:21.6,false
fuel-type-labels-diesel-gas,Fuel Type Labels (Diesel / Gas),fleet-compliance-id,per_piece,8.00,catbase_vehicle_branding_advertising_02,QTY_TIERED,true,0,0,0,0,,,1:5,5:4.75,10:4.5,false
gvw-tare-weight-lettering,GVW / Tare Weight Lettering,fleet-compliance-id,per_piece,15.00,catbase_vehicle_branding_advertising_03,QTY_TIERED,true,0,0,0,0,,,1:13.5,5:12.825,10:12.15,false
hours-of-service-log-holder,Hours of Service Log Holder,fleet-compliance-id,per_piece,8.00,catbase_fleet_compliance_id_01,QTY_TIERED,true,0,0,0,0,,,1:10,5:9.5,10:9,false
ifta-cab-card-holder,IFTA Cab Card Holder Decal,fleet-compliance-id,per_piece,12.00,catbase_fleet_compliance_id_01,QTY_TIERED,true,0,0,0,0,,,1:10,5:9.5,10:9,false
mc-number-decals,MC Number Decals,fleet-compliance-id,per_piece,25.00,autobase_cvor-number-decals,QTY_TIERED,true,25,0,,,,,1:25,3:23.75,5:22.5,false
nsc-number-decals,NSC Number Decals,fleet-compliance-id,per_piece,28.00,autobase_confined-space-warning-signs,QTY_TIERED,true,28,0,,,,,1:28,3:26.6,5:25.2,false
tire-pressure-load-labels,Tire Pressure / Load Labels,fleet-compliance-id,per_piece,5.00,catbase_vehicle_branding_advertising_02,QTY_TIERED,true,0,0,0,0,,,1:5,5:4.75,10:4.5,false
trailer-id-number-decals,Trailer ID Number Decals,fleet-compliance-id,per_piece,18.00,autobase_arc-flash-labels,QTY_TIERED,true,18,0,,,,,1:18,3:17.1,5:16.2,false
truck-door-compliance-kit,Truck Door Compliance Kit,fleet-compliance-id,per_piece,89.00,autobase_acm-dibond-signs,QTY_TIERED,true,89,0,,,,,1:89,3:84.55,5:80.1,false
tssa-truck-number-lettering-cut-vinyl,TSSA Truck Number Lettering (Cut Vinyl),fleet-compliance-id,per_piece,35.00,autobase_aisle-markers-hanging,QTY_TIERED,true,35,0,,,,,1:35,3:33.25,5:31.5,false
usdot-number-decals,US DOT Number Decals,fleet-compliance-id,per_piece,25.00,autobase_cvor-number-decals,QTY_TIERED,true,25,0,,,,,1:25,3:23.75,5:22.5,false
vehicle-inspection-maintenance-stickers,Vehicle Inspection Stickers,fleet-compliance-id,per_piece,4.00,catbase_vehicle_branding_advertising_02,QTY_TIERED,true,0,0,0,0,,,1:5,5:4.75,10:4.5,false
car-graphics,Car Graphics,large-format-graphics,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
floor-direction-arrows-set,Floor Arrows,large-format-graphics,per_piece,25.00,autobase_cvor-number-decals,QTY_TIERED,true,25,0,,,,,1:25,3:23.75,5:22.5,false
floor-graphics,Floor Graphics,large-format-graphics,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
floor-logo-graphic,Custom Floor Logo Graphic,large-format-graphics,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,false
floor-number-markers-set,Floor Number Markers,large-format-graphics,per_piece,20.00,autobase_crane-lift-capacity-labels,QTY_TIERED,true,20,0,,,,,1:20,3:19,5:18,false
frosted-privacy-film,Frosted Privacy Film,large-format-graphics,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
full-window-graphics,Full Window Graphics,large-format-graphics,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
lf-floor-graphics,Floor Graphics,large-format-graphics,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
one-way-vision-graphics,One-Way Vision Graphics,large-format-graphics,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
wall-graphics,Wall Graphics,large-format-graphics,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
wall-mural-graphic,Custom Wall Mural,large-format-graphics,per_sqft,25.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
wall-murals,Wall Murals,large-format-graphics,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
warehouse-floor-safety-graphics,Warehouse Floor Graphics,large-format-graphics,per_sqft,18.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
window-frosted,Frosted Film,large-format-graphics,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
window-graphics,Window Graphics,large-format-graphics,per_sqft,0.00,batch1_window_graphics,AREA_TIERED,true,35,5,,2,,,4:12,12:9.5,32:7.5,false
window-perforated,Perforated Window Film,large-format-graphics,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
bf-certificates,Certificates,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
bf-letterhead,Letterhead,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
bf-notepads,Notepads,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
booklets,Booklets,marketing-prints,per_piece,0.00,catbase_marketing_prints_02,QTY_TIERED,true,0,0,0,0,,,1:349,5:331.55,10:314.1,true
booklets-perfect-bound,Perfect Bound Booklet,marketing-prints,per_piece,399.00,catbase_marketing_prints_02,QTY_TIERED,true,0,0,0,0,,,1:349,5:331.55,10:314.1,true
booklets-saddle-stitch,Saddle Stitch Booklet,marketing-prints,per_piece,249.00,catbase_marketing_prints_02,QTY_TIERED,true,0,0,0,0,,,1:349,5:331.55,10:314.1,true
booklets-wire-o,Wire-O Booklet,marketing-prints,per_piece,349.00,catbase_marketing_prints_02,QTY_TIERED,true,0,0,0,0,,,1:349,5:331.55,10:314.1,true
bookmarks,Bookmarks,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
bookmarks-custom,Custom Bookmarks,marketing-prints,per_piece,29.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
brochures,Brochures,marketing-prints,per_piece,0.00,catbase_marketing_prints_02,QTY_TIERED,true,0,0,0,0,,,1:349,5:331.55,10:314.1,true
brochures-bi-fold,Bi-Fold Brochure,marketing-prints,per_piece,99.00,catbase_marketing_prints_02,QTY_TIERED,true,0,0,0,0,,,1:349,5:331.55,10:314.1,true
brochures-tri-fold,Tri-Fold Brochure,marketing-prints,per_piece,119.00,catbase_marketing_prints_02,QTY_TIERED,true,0,0,0,0,,,1:349,5:331.55,10:314.1,true
brochures-z-fold,Z-Fold Brochure,marketing-prints,per_piece,139.00,catbase_marketing_prints_02,QTY_TIERED,true,0,0,0,0,,,1:349,5:331.55,10:314.1,true
business-cards-classic,Classic Business Cards,marketing-prints,per_piece,29.00,business_cards_premium,QTY_OPTIONS,true,25,5,,,8,16,classic-single|50:0.442,classic-single|100:0.289,classic-single|250:0.17,true
business-cards-gloss,Gloss Business Cards,marketing-prints,per_piece,34.22,business_cards_premium,QTY_OPTIONS,true,25,5,,,8,16,classic-single|50:0.442,classic-single|100:0.289,classic-single|250:0.17,true
business-cards-gold-foil,Gold Foil Business Cards,marketing-prints,per_piece,44.95,business_cards_premium,QTY_OPTIONS,true,25,5,,,8,16,classic-single|50:0.442,classic-single|100:0.289,classic-single|250:0.17,true
business-cards-linen,Linen Business Cards,marketing-prints,per_piece,35.38,business_cards_premium,QTY_OPTIONS,true,25,5,,,8,16,classic-single|50:0.442,classic-single|100:0.289,classic-single|250:0.17,true
business-cards-matte,Matte Business Cards,marketing-prints,per_piece,32.48,business_cards_premium,QTY_OPTIONS,true,25,5,,,8,16,classic-single|50:0.442,classic-single|100:0.289,classic-single|250:0.17,true
business-cards-pearl,Pearl Business Cards,marketing-prints,per_piece,37.12,business_cards_premium,QTY_OPTIONS,true,25,5,,,8,16,classic-single|50:0.442,classic-single|100:0.289,classic-single|250:0.17,true
business-cards-soft-touch,Soft Touch Business Cards,marketing-prints,per_piece,37.70,business_cards_premium,QTY_OPTIONS,true,25,5,,,8,16,classic-single|50:0.442,classic-single|100:0.289,classic-single|250:0.17,true
business-cards-thick,Thick Layered Business Cards,marketing-prints,per_piece,39.15,business_cards_premium,QTY_OPTIONS,true,25,5,,,8,16,classic-single|50:0.442,classic-single|100:0.289,classic-single|250:0.17,true
calendars,Calendars,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
calendars-wall,Custom Wall Calendars,marketing-prints,per_piece,89.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
calendars-wall-desk,Calendars,marketing-prints,per_piece,52.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
certificates,Certificates,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
door-hangers,Door Hangers,marketing-prints,per_piece,0.00,door_hangers_standard_qo_v1,QTY_OPTIONS,true,99.82,0,,,,2,Single-sided|100:1,Single-sided|250:0.59,Single-sided|500:0.41,true
door-hangers-large,Large Door Hanger,marketing-prints,per_piece,89.00,door_hangers_large_qo_v1,QTY_OPTIONS,true,118.18,0,,,,2,Single-sided|100:1.18,Single-sided|250:0.7,Single-sided|500:0.49,true
door-hangers-perforated,Perforated Door Hanger,marketing-prints,per_piece,79.00,door_hangers_standard_qo_v1,QTY_OPTIONS,true,99.82,0,,,,2,Single-sided|100:1,Single-sided|250:0.59,Single-sided|500:0.41,true
door-hangers-standard,Standard Door Hanger,marketing-prints,per_piece,69.00,door_hangers_standard_qo_v1,QTY_OPTIONS,true,99.82,0,,,,2,Single-sided|100:1,Single-sided|250:0.59,Single-sided|500:0.41,true
envelopes,Envelopes,marketing-prints,per_piece,0.55,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
envelopes-10-business,#10 Business Envelope,marketing-prints,per_piece,89.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
envelopes-6x9-catalog,6×9 Catalog Envelope,marketing-prints,per_piece,99.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
envelopes-9x12-catalog,9×12 Catalog Envelope,marketing-prints,per_piece,119.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
envelopes-a7-invitation,A7 Invitation Envelope,marketing-prints,per_piece,79.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
flyers,Flyers,marketing-prints,per_piece,0.00,batch1_flyers_standard,QTY_TIERED,true,25,0,,3,,,100:0.55,250:0.35,500:0.25,true
flyers-large,Large Flyer,marketing-prints,per_piece,109.00,batch1_flyers_standard,QTY_TIERED,true,25,0,,3,,,100:0.55,250:0.35,500:0.25,true
flyers-small,Small Flyer,marketing-prints,per_piece,59.00,batch1_flyers_standard,QTY_TIERED,true,25,0,,3,,,100:0.55,250:0.35,500:0.25,true
flyers-standard,Standard Flyer,marketing-prints,per_piece,79.00,batch1_flyers_standard,QTY_TIERED,true,25,0,,3,,,100:0.55,250:0.35,500:0.25,true
gift-certificates,Gift Certificates,marketing-prints,per_piece,59.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
greeting-cards,Greeting Cards,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
invitation-cards,Invitation Cards,marketing-prints,per_piece,0.00,catbase_marketing_prints_01,QTY_TIERED,true,0,0,0,0,,,1:0.55,5:0.5225,10:0.495,true
